Project_ID,Project_URL,Project_Name,
11,https://bitcoinera.app/arewedecentralizedyet/,are we decentralized yet?,
12,https://fullfact.org/about/automated/,Automatic Fact Checking,
13,https://arxiv.org/abs/1909.13838,Automatic Fact-guided Sentence Modification,
14,https://github.com/kdeldycke/awesome-falsehood#human-identity,Awesome Falsehoods about Human Identity,
15,https://blog.memespring.co.uk/2017/03/05/beckton-a-tool-to-build-groups-of-paying-members/,Beckton,
16,https://benefits-calculator.turn2us.org.uk/,Benefits Calculator,
17,https://ohchr.org/Documents/Publications/OHCHR_BerkeleyProtocol.pdf,Berkeley Protocol on Digital Open Source Investigations,
18,https://bleepr.ai/,Bleepr AI,
19,https://bluelink.org/,Bluelink,
20,https://thebureauinvestigates.com/explainers/join-our-network,Bureau Local,
21,https://www.campaignlab.uk/,Campaign Lab,
22,https://recipes.thecatalyst.org.uk/,Catalyst Service Recipes,
23,https://charitybase.uk/,Charitybase,
24,https://wearecitizensadvice.org.uk/how-weve-made-it-easier-to-use-our-data-229ba3c6e6ee,Citizen's Advice Data Team,
25,https://civictech.guide/,Civic Tech Field Guide,
26,https://clearthelobby.co.uk/,Clear The Lobby,
27,https://climateaction.tech/,ClimateAction.Tech,
28,https://cobudget.co/,Cobudget,
29,https://collab.land/,collab.land,
30,https://propublica.gitbook.io/collaborate-user-manual/,Collaborate,
31,https://collaborative-data.theodi.org/,Collaborative Data Patterns,
32,https://medium.com/enspiral-tales/doing-more-together-together-seeding-a-collaborative-technology-alliance-82243ea30d41,Collaborative Technology Alliance,
33,https://commonslibrary.org/,Commons Library,
34,https://communities.sunlightfoundation.com/action/data-dialogues/,Community Data Dialogues,
35,https://communityrule.info/,CommunityRule,
36,https://github.com/ushahidi/platform-comrades,COMRADES,
37,https://constituteproject.org/,Constitute,
38,https://consulproject.org/,Consul,
39,https://contractsfordatacollaboration.org,Contracts for Data Collaboration,
40,https://model-legislation.apps.publicintegrity.org/,"Copy, Paste, Legislate",
41,https://coralproject.net/research/,Coral Project,
42,https://coops.tech/,CoTech,
43,https://casrai.org/credit/,CRediT – Contributor Roles Taxonomy,
44,https://crowdjustice.com/,Crowdjustice,
45,https://belfercenter.org/CyberPlaybook,Cybersecurity Campaign Playbook,
46,https://cybersecurityfordemocracy.org/,Cybersecurity for Democracy,
47,https://dandelion.earth/,Dandelion,
48,https://openrightsgroup.org/campaign/data-and-democracy-project/,Data and Democracy,
49,https://theodi.org/service/tools-resources/data-and-public-services-toolkit/,Data and Public Services Toolkit,
50,https://data-collective.org.uk/,Data Collective,
51,https://datajournalism.tools/,Data Journalism Tools,
52,https://datatrusts.uk/,datatrusts.uk,
53,https://blueskyweb.org (see also https://matrix.org/_matrix/media/r0/download/twitter.modular.im/981b258141aa0b197804127cd2f7d298757bad20),Bluesky,
54,https://decentralized-id.com/,Decentralized ID,
55,https://decidim.org/,decidim,
56,https://democracyclub.org.uk/,Democracy Club,
57,https://democracyhandbook.org.uk/,Democracy Handbook,
58,https://digitalcharitylab.org/product/digital-account-management-toolkit/,Digital Account Management Toolkit,
59,https://onlinelibrary.wiley.com/doi/full/10.1111/capa.12356,Digital era open government and democratic governance: The case of Government of Canada Wikipedia editing,
60,http://digitaljuries.com/,Digital Juries,
61,https://docs.google.com/document/d/17sMqrBrQO89pkSly8vg2CNOvm26bsqgPrZ-S-q4EsvQ/edit#,Digital‌ ‌tools‌ ‌for‌ ‌Citizens’‌ ‌Assemblies‌ ,
62,https://research.mysociety.org/publications/digital-tools-participation,Digital tools for democratic participation,
63,https://dsc.org.uk/publications/,Directory of Social Change (Publications),
64,https://gov.uk/government/publications/directory-of-uk-safety-tech-providers,Directory of UK Safety Tech Providers,
65,https://insidegovuk.blog.gov.uk/2017/01/27/discovery-into-consultations/,Discovery into Consultations,
66,https://docs.plus/demo,docs.plus,
67,https://dogooder.co,dogooder,
68,https://dovetail.network/,Dovetail,
69,https://drawdown.org/,Drawdown,
70,http://fairsay.com/networks/ecampaigning-forum,eCampaigning Forum,
71,https://eff.org/pages/tools,EFF Tech Team,
72,https://electiontechhandbook.uk/,Election Tech Handbook,
73,https://elicit.org/,Elicit,
74,https://entitledto.co.uk/,entitledto,
75,https://ethelo.com/,ethelo,
76,https://hattusia.com/ethics-roi-calculator,Ethics ROI Calculator,
77,https://gov.uk/find-local-consultations,Find local consultations,
78,https://fixmyblock.org/,Fix My Block,
79,https://gov.uk/service-manual,GDS Service Manual,
80,https://gived.org,Gived,
81,http://hdr.undp.org/en/2019-MPI,Global Multidimensional Poverty Index,
82,https://globaleaks.org/,GlobaLeaks,
83,https://goodgrantmaking.com/,Good Grantmaking,
84,https://journaliststudio.google.com/,Google Journalist Studio,
85,https://gds.blog.gov.uk/2020/09/22/introducing-gov-uk-accounts/,gov.uk Accounts Prototype,
86,https://notifications.service.gov.uk,gov.uk Notify,
87,https://metagov.org/govbase/,GovBase,
88,https://github.com/openpolitics/groupthink,groupthink,
89,https://hackmd.io/@yHk1snI9T9SNpiFu2o17oA/Skh_dXNbE?type=view,Handbooks for decentralised organising,
90,https://hashcat.net/,Hashcat,
91,https://adl.org/hate-symbols,Hate Symbols Database,
92,https://alixdunn.com/how-to-fund-tech/,How To Fund Tech,
93,https://huddled.io,Huddled,
94,https://data.humdata.org/,Humanitarian Data Exchange,
95,https://idealist.org/,Idealist,
96,https://impossibleideas.wearefuturegov.com/,Institute of Impossible Ideas,
97,https://bellingcat.com/resources/how-tos/2019/03/21/bellingcats-invitation-is-waiting-for-your-response-an-investigative-guide-to-linkedin/,Investigative Guide To LinkedIn,
98,https://keepitinthecommunity.org/,Keep It In The Community,
99,https://kialo.com/,Kialo,
100,https://whimsical.com/labour-party-staff-M8tVcVzqDWX1GEZLpKxsVV,Labour Party Staff Map,
101,https://antievictionmappingproject.github.io/landlordtech/,Landlord Tech Watch,
102,https://littlesis.org/,LittleSis,
103,https://loomio.org/,Loomio,
104,https://docs.google.com/document/d/1oRHBT5zyfF2BMzsKiZFhluwykTCjOFHltQ1K8KvyEP8/edit?fbclid=IwAR26eDXaD6w7ocCkwIfiSS4zBNHePHlQlFGtAIHzxupScigniLeGMa806sg,Map of Research Tooling,
105,https://mapit.mysociety.org,MapIt,
106,https://maplesync.ca/,maplesync,
107,https://knightcolumbia.org/research/mapping-alternative-social-media,Mapping Social Media,
108,https://collectivetech.io/,Collective Tech,
109,https://joinmastodon.org/,Mastodon,
110,https://matrix.org,Matrix,
111,https://github.com/tulir/mautrix-whatsapp,Matrix-Whatsapp Bridge,
112,https://meet.coop/,meet.coop,
113,https://membersinterests.org.uk/,Members Interests,
114,https://medium.com/@abscond/membership-a-prototype-ea822b2683b,Membership,
115,https://membershippuzzle.org/,Membership Puzzle Project,
116,https://hact.org.uk/mental-health-social-value-calculator,Mental health social value calculator,
117,https://www.metaculus.com/questions/,Metaculus,
118,https://opendatacommunities.org/home,MHCLG Datasets,
119,https://missingnumbers.org/,Missing Numbers,
120,https://quick.mobpoll.org,MobPoll,
121,https://arxiv.org/abs/2005.13701,Modular Politics: Toward a Governance Layer for Online Communities,
122,https://moralmachine.net/,Moral Machine,
123,https://murmurations.network/,Murmurations,
124,https://myaction.center/,MyActionCentre,
125,https://fabriders.net/network-centric/,Network-Centric Resources,
126,https://onlinepostalvote.uk/,Online Postal Vote,
127,https://ntouk.wordpress.com/2020/06/28/online-public-services-in-the-uk-23-years-of-federated-identity/,Online Public Services In The UK — 23 Years Of Federated Identity,
128,https://openaccess.transparency.org.uk/,Open Access UK,
129,https://openaudience.org/,Open Audience,
130,https://opencollective.com/,Open Collective,
131,https://open-contracting.org,Open Contracting,
132,https://opencouncildata.co.uk/,Open Council Data,
133,https://communities.sunlightfoundation.com/action/maturity-scale/,Open Data Maturity Scale,
134,https://openownership.org/,Open Ownership,
135,https://openpolitics.org.uk/,Open Politics,
136,https://openreferral.org/,Open Referral,
137,https://standards.theodi.org/,Open Standards for Data Handbook,
138,https://organise.org.uk/,Organise,
139,https://overton.io,Overton,
140,https://parler.com/,Parler,
141,https://participedia.net/,Participedia,
142,https://github.com/cverluise/PatCit,patCit,
143,https://placecal.org/,PlaceCal,
144,https://planit.org.uk/,PlanIt,
145,https://platformland.org/,Platformland,
146,https://ash.harvard.edu/files/ash/files/293091_hvd_ash_gvmnt_as_platform_v2.pdf,Playbook: Government as a Platform,
147,https://pol.is,Pol.is,
148,https://arxiv.org/abs/2008.04236,PolicyKit,
149,https://policymogul.com/,PolicyMogul,
150,https://www.policytracker.com/,Spectrum Management,
151,https://polimonitor.com/,Polimonitor,
152,https://datasociety.net/wp-content/uploads/2020/09/Poverty-Lawgorithms-20200915.pdf,Poverty Lawgorithms,
153,https://publicmediastack.com/,Public Media Stack,
154,https://quadraticvote.co/,Quadratic Vote,
155,https://researchforaction.uk/project/reclaim-local-democracy,Reclaim Local Democracy,
156,https://redecentralize.org/,Redecentralize,
157,https://docs.google.com/document/d/1CvSfa1Ahp5ZqqGmkZ1irdVYeFHCCNO6tY5VaFchEk6g/edit,Registers and Collaboration: Making lists we can trust,
158,https://replicationmarkets.com,Replication Markets,
159,https://responsibledesign.tech/,Responsible Design for Digital Communities,
160,https://riseup.net/,RiseUp,
161,https://sci-hub.se,Sci-Hub,
162,https://secfirst.org/,Security First,
163,https://shareaction.org,ShareAction,
164,https://misinfocon.com/coming-together-to-find-answers-and-build-trust-with-source-scour-33ab62a37837,Source Scour,
165,https://soweego.readthedocs.io/en/latest/,soweego,
166,https://spendnetwork.com/,Spend Network,
167,https://stewardingloss.com/,Stewarding Loss,
168,https://teachingpublicservice.digital/,Teaching Public Service in the Digital Age,
169,https://techworkerscoalition.org/,Tech Workers Coalition,
170,https://publicaccountability.org/,The Accountability Project,
171,https://navigator.oii.ox.ac.uk/,The ComProp Navigator,
172,https://library.theengineroom.org/,The Engine Room Library,
173,http://thegovernmentsays.com/,The Government Says,
174,https://tectonica.co/euroreport,The State of Digital Organising in Europe,
175,https://research.mysociety.org/publications/state-digital-public-engagement,The State of Digital Public Engagement,
176,https://theyworkforyou.com/,They Work For You,
177,https://timecounts.org/,Timecounts,
178,https://transparency.tube/,Transparency Tube,
179,https://bennettinstitute.cam.ac.uk/blog/trust-and-accountability-patterns-digital-governme/,Trust and accountability patterns in digital government: data usage trackers,
180,https://turkopticon.ucsd.edu/,Turkopticon,
181,https://hact.org.uk/DataStandard,UK Housing Data Standard,
182,https://docs.google.com/document/d/19CEC-qsBUSF7gKslHh5oIfYWDFyUAprKK5phcYfsKZw/edit,Understanding the social impact of the National Data Strategy ,
183,https://unionize.co.uk/,Unionize,
184,https://research.localgov.digital/,User Research Library,
185,https://ushahidi.com,Ushahidi,
186,https://vocaleyes.org/,VocalEyes,
187,https://voteforpolicies.org.uk/,Vote for Policies,
188,https://whatdotheyknow.com/,What Do They Know,
189,https://forward-action.github.io/whatsapp-link-generator/,Whatsapp Link Generator,
190,https://whopostedwhat.com/,Who Posted What,
191,https://whosin.io/,Who's In,
192,https://whoisology.com/,Whoisology,
193,https://whotargets.me/en/notify/,WhoTargetsMe: Notify,
194,https://wikidata.org/,Wikidata,
195,https://arxiv.org/abs/2006.13400,Wikipedia and Westminster: Quality and Dynamics of Wikipedia Pages about UK Politicians,
196,https://en.wikipedia.org/wiki/Wikipedia:In_the_news,Wikipedia:In the news,
197,https://en.wikipedia.org/wiki/Wikipedia:WikiProject_Medicine,WikiProject Medicine,
198,https://en.wikipedia.org/wiki/Wikipedia:WikiProject_Politics_of_the_United_Kingdom,WikiProject Politics of the United Kingdom,
199,http://wikum.csail.mit.edu/,Wikum,
200,https://points.datasociety.net/you-think-you-want-media-literacy-do-you-7cad6af18ec2,You Think You Want Media Literacy… Do You?,
